EmpNo,Job,Date,HW
2589,132111,2011-06-25T00:00:00.000000000,6.46
2589,132111,2011-07-02T00:00:00.000000000,6.46
2589,132111,2011-07-16T00:00:00.000000000,6.46
2589,132111,2011-07-23T00:00:00.000000000,6.46
2589,132111,2011-07-30T00:00:00.000000000,6.46
2589,132111,2011-08-06T00:00:00.000000000,6.46
2589,132111,2011-08-07T00:00:00.000000000,6.46
2589,132111,2011-08-13T00:00:00.000000000,6.46
2589,132111,2011-08-20T00:00:00.000000000,6.46
2589,132111,2011-08-27T00:00:00.000000000,6.46
2589,132111,2011-09-03T00:00:00.000000000,6.46
2589,132111,2011-09-05T00:00:00.000000000,6.46
2589,132111,2011-09-11T00:00:00.000000000,6.46
